,subject,label,body
41,sony,3,Sony went all out with this new high-tech smartphone. Some may question if anyone needs this phone #J2150BB  https://t.co/rLMlR07ySu
43,sony,3,Sony's pulling a #TASM2 by beginning pre-production on a Goosebumps sequel even though the 1st one hasn't come out yet. #FuckingStupid
44,sony,3,@martymegs @SonyUK @johnlewisretail it's Friday let's see if JL and Sony can resolve the issue. Gut feeling is that they will go silent.
45,sony,3,"Sony Xperia Z5, Xperia Z5 Compact Price, Xperia Z5 Premium Detailed: Following the launch announcement on Wednesday, Sony has reveale..."
47,sony,3,Xperia Z5 pre-orders available at the Carphone Warehouse:  Sony may have only announced its ne... http://t.co/OHglq1Lhkx #tech #technews
48,sony,3,"#IFA2015: International Fair of Electronic Consumers of Berlin, GER 4-9/Sep. with Samsung, Sony, Sharp, Epson,Toshiba http://t.co/TAHrmg87w5"
51,sony,3,"@GeorgeGegham Marvel is in charge now, no way Sony can get too involved to mess up the 3rd time, plus they have a good director/writers."
52,sony,3,"M$: Sony is gobbling up 3rd Party Exclusives  Says the company that tried to steal away Tomb Raider, Deadrising, Rareware, several indies..."
53,sony,3,The New York Times reported Tuesday that Sony executives seemingly softened Concussion to placate the NFL
54,sony,3,What evidence is there that says North Korea hacked Sony or are we just a propaganda machine for the US Govt? https://t.co/rRpLA3hBW0
55,sony,3,"@StevieBenton Dunno about tinder style. Sony had a thing called +U that sat on top of http://t.co/2eHWnmqf7L, I think. Looks dead now though"
59,sony,3,@blakejharrisNYC could hit the 3rd console war with @PS1Documentary as you wrote about some of the characters that went over to Sony's side.
69,sony,3,Should add in October 27 - Read that folder on PC from the Sony leak with all the scripts &amp; production emails with a bottle of wine &amp; candle
81,sony,3,Still waiting for my phone to come back from Sony..bit lost without it. Hopefully back up by Thursday. Last upload was from my PC.
85,sony,3,final vid going up tomorrow most likely. depends on when i can get sony vegas back. just gonna be my 4 fav clips with a simple edit.
86,sony,3,"Sam Smith to sing title song for ""Spectre"" the new James Bond film, Sony confirms. Song out 9-25; movie on Nov. 6."
89,sony,3,@SamLittleMix Sony said 1hr 15m unless they got it wrong? Idk i'll double check with them tomorrow
93,sony,3,Hmmm.  Diablo III Ultimate Evil edition is on sale for Sony's 20th Anniversary.  But don't know anyone playing on PS4 to make it seem worth
95,sony,3,Sony and Zeiss showdown! Announcement on Friday 11 is not just about camcorder and Otus!
99,sony,3,Apple and Microsoft the 1st pairing in Tech Bastards cinematic universe. Stay till after the credits to see them eating shawarma with Sony.
101,star wars,5,"It may have been our trip to Disney and the release of all the new #starwars stuff, but Jose and I are totally in a Star Wars mood"
103,star wars,5,Dad went into my room and saw me watching Star Wars. Dad: I'll get you the whole saga... And may the force be with you. he's the best &lt;3
108,star wars,3,Here's what @devincf gets wrong about Star Wars toys and right about Force Friday http://t.co/M7t4AClMqD via @reeft
112,star wars,5,"Spend a few minutes this morning with one of the loveliest people in the whole Star Wars family, Anthony Daniels: http://t.co/RHyWjER54g"
115,star wars,3,"Star Wars sale at Games Republic, up to 75% off! May the savings be with you. https://t.co/zVmmnTc94R"
125,star wars,3,Did Disney make back 3/4 of the $4 billion it paid for Lucasfilms?  Force Friday: $3b in Star Wars merchandise sales http://t.co/6laKrfDOTZ
131,star wars,5,I can't stop watching Star Wars videos on YouTube. I just need December to come now!
137,star wars,3,Shop the Orange Tuesday Flash Sale for the Best Halloween Costumes: Star Wars - Ewok Infant / Toddler Costume ... http://t.co/MgflbQPnqW
146,star wars,3,"@TheatrMwldan December 17th is the day for Star Wars , most anticipated film of the year??"
155,star wars,5,Whenever I'm thinking about negative bs...I remember Star Wars Episode 7 comes out in December...lol we just gotta make till Christmas dawg
156,star wars,5,"Big week in the House of Flo: 1st day of Kindergarten, 1st day of preschool, son turns 6 &amp; gets to watch Star Wars, &amp; a Birthday party!"
159,star wars,5,I need somebody to have a Star Wars marathon with before December!
163,star wars,5,"Letting your professors know not to schedule a final on December 17th and 18th because That's the Star Wars premiere....Yeah, I'm that kid"
178,star wars,3,Did you know Star Wars is coming out with a new movie in December?!?! - third grade boy
181,star wars,3,Why is it the Imperial March from Star Wars is playing im my head while I think about a new episode of #inkmaster tonight?? Lol
185,star wars,3,@TOPPSMIKE I also cross trade for huddle and bunt. I may quit Star Wars and want to cross trade. Don't want to be suspended again. Thoughts?
190,star wars,5,There is no perhaps when it comes to Star Wars! You MUST! May the power of the force compel you to do so! https://t.co/RmcfH2TmqF
195,star wars,3,The release date for Star Wars: The Force Awakens in the UK has been moved to a day earlier than originally advertised on December 17.
199,star wars,3,@BitterOldJoe it gave the impression the whole thing is a beery deconstruction of Star Wars for adult edgelords. I may read it anyway
208,sting,5,"Sting's in Brooklyn. Sunday night, it's happening. IT'S HAPPENING! #SummerSlam"
209,sting,3,"@JGoldLabel Doubt it. Rumor has it Kane may attack Lesnae because Lesnar ""Put him out"" Sting shows up sets up Taker vs Sting Mania 32"
211,sting,3,@TheDoctorIsntIn Interference seems a foregone conclusion to set up a 3rd match at WM...unless Sting shows up tonight and screws Taker.
217,sting,3,"PWInsider reports that several sources indicate Sting flew back to New York City tonight, which could mean he appears at RAW tomorrow night."
218,sting,3,"@ShadouDoragon @HolyWhiteDragon @IronRockSaint --instead responded to Sting's statement. ""Hai, Sting-san! May the guild with more--"
219,sting,3,Sting may be apppearing tonight how many times have we heard that in the last 2 months? I'll believe it when I hear the crows.  #Raw
222,sting,5,"Looking forward to Monday Night Raw, I have a feeling we'll be seeing Ric Flair in the ring with Sting tonight! #WWERaw #WCW"
223,sting,5,"And it all ends,  with Sting! Monday Night Raw, was absolutely, WAY more better, then Summerslam. #StingVsRollins  #RawBrooklyn"
224,sting,5,"That was one of the best Monday Night Raw shows I've seen in a while, finishing off with Sting! Could we see #RollinsvsSting"
226,sting,5,great RAW tonight...1st the Dudley Boys and then to end with Sting!!!   #WWERaw #WWE
228,sting,3,I gotta mute @WWE  on Monday's. Good to see Sting sucks it was in twitter. I guess back to San Andreas it is.
230,sting,3,Sting wins title and vacates it the next night on Raw goes in to hall of fame in April....
236,sting,5,STING vs. Seth Rollins on September 20th for the World Title! Amazing! http://t.co/xoNwHr5Syx
239,sting,3,"@mdschaeff Did you notice how the upper corners of Sting's paint were gone b/c he was in there so long?  ""C'mon Seth, take it home."""
240,sting,3,@grumpyhawk We've already been getting Christmas stuff in at work so I assume we're just prepping for Black Friday even earlier and Sting is
243,sting,5,"The Sting stuff just being great &amp; loving how Triple H sold the ""big reveal""... http://t.co/Kxr2yb69ze #RAW"
244,sting,3,"@raschatz Cena with that broken nose. And if Sting is in the title chase, Paul (HHH) may have killed that Cena-Rollins feud."
248,sting,3,http://t.co/r2eotN5i7D  Pretty nifty way they got Sting into the ring on #RAW on Monday. #WWE
249,sting,3,@titowrestling c'mon you wouldn't mark out if Sting was champ? Granted I realize Rollins ain't dropping the strap to him but for nostalgia?
250,sting,3,"@WRESTLEZONEcom Do you guys think ""The Icon"" Sting will ACTUALLY get his 1st victory in WWE? If so, when and where will he get it?! #WZDaily"
251,sting,3,Maybe if Sting had her on Monday his facepaint would've made it to 11pm http://t.co/yi7hKahVFC
252,sting,3,"When it comes to weathered instruments, there's Brian May's guitar, Sting's bass, and Motorhead's Lemmy"
266,sting,3,"For tonight's episode of Bell to Bell w/ @AaronDaniel1987 &amp; @JoEburGett_WE, listen to https://t.co/8ISrJWbVJC. RAW, Sting, Rollins, &amp; more."
271,sting,3,#WWE Monday Night #RAW results Sting opens the show - http://t.co/gdmVy0jyYm http://t.co/6Wbc5pLeew
273,sting,5,"Even if it's an announced segment, I still mark out when Sting is on my TV on Monday nights. #RAW"
274,sting,5,#StingonRaw what a great way to start off Monday night Raw with Sting!
276,sting,3,"Instead of that, Sting has to suck up to Hunter. I realize it may be planting a seed for HHH/Rollins, but I hate dumb faces."
286,sting,3,@DisrespectfulTy i never left. I been lurking over the tl like Sting did on Monday Night Nitro
293,sting,3,"Credit to WCW. Bubba beat Sting in May, since that time they've decided to put Bubba vs Hogan tonight - Bubba has done *NOTHING* since"
298,sting,3,"Not sure if Sting's a 1st ballot HoFer, since Vince holds the only ballot"
301,t-mobile,3,"Why Inteliquent Inc. Jumped 30% Tuesday Morning: With a fresh T-Mobile contract under its belt, the behind-the... http://t.co/bBx3hObs96"
302,t-mobile,3,@BeatsSupport that may take some doing. I'll have to go to T-Mobile to get another copy of the receipt.
304,t-mobile,3,"@The_only_keith_ ...device is also unlocked or a T-Mobile device) you shouldn't need to call in. It may be necessary, however, if... 2/3"
306,t-mobile,5,Finally got me a lil T-Mobile phone! Imma get it on Friday
307,t-mobile,3,@AriahAguilar I might just do that if I can't convince them. Lol my mom &amp; I are gonna go to t-mobile on Saturday and see what we can do.(:
308,t-mobile,3,Guy at T-mobile: ok so just call the store tomorrow and ask for me so we can set up the phone! Me the next day: what the fuck was his name.
315,t-mobile,3,"I may just keep with AT&amp;T, sprint is to much , and t-mobile is up in the air for right now."
316,t-mobile,5,"Got my replacement phone from T-Mobile today. Overnighted it no charge, which is awesome. Too bad I can't get to the store until tomorrow!"
317,t-mobile,5,I just wanna switch to t-mobile because of its CEO!! #rockstar  https://t.co/JgNGxANfLR
320,t-mobile,1,"@greetmytweet_ hahah I haven't had one since Monday, and it was supposed to be expedited here. T-Mobile is a joke."
323,t-mobile,3,"The Hot N Crusty on 14th and 1st is now a T-Mobile, this is why I don't come to the East Village anymore."
327,t-mobile,3,I'll just call T-Mobile tomorrow
329,t-mobile,3,@EhmOhSquared not yet since it just came out friday they don't have screen protectors. And I'm not paying 25+ for one at t-mobile lmao
331,t-mobile,3,T-Mobile Holds 2-Day Sale On Devices Ending August 25th: Back to school is a time to prepare for the upcoming ... http://t.co/MSaKfcgOTh
332,t-mobile,3,Short Sales T-Mobile Holds 2-Day Sale On Devices Ending August 25th: T-Mobile has short sales throughout the y... http://t.co/3pRKDPbe1e
334,t-mobile,3,"@TMobileHelp Is the iphone 6s coming out Sept 18th to T-mobile stores as well? If so, what can I do about reserving one to JUMP?"
337,t-mobile,3,November is when my 1 year anniversary with T-mobile debating if I want to stay with them or go to Verizon and get the 6+S
338,t-mobile,3,@tLindseey_ I did it bout 10 times but I got something for T-Mobile as tomorrow believe that shit
342,t-mobile,3,"T-Mobile promised me next day air, so if I don't have a brand new iPhone in my hand tomorrow after class they're fake af"
344,t-mobile,1,"T-mobile needs to change their name to t-maybe, because you may or may not have service"
347,t-mobile,3,"@JohnLegere Hey, I may not have T-Mobile but you are EASILY my favorite CEO, probably of all time. Definitely of all time. #sprintlikehell"
348,t-mobile,3,Two guys in Floriduh tried to rob a T-Mobile store after it closed on Tuesday night . . . but it happened to be... http://t.co/Za79gbpRSE
349,t-mobile,3,"I guess I will just check  back with T-MOBILE on October 31st halloween to see if they will get any new microsoft LUMIA smart phones.,"
350,t-mobile,3,"T-MOBILE LIFE INSTORE: CSR:Hi may I help you ME:Yes, I can't access my pictures CSR:OK......I don't have a note... http://t.co/PIVABNaTOJ"
355,t-mobile,3,"T-Mobile and band 12 support in unlocked smartphones put in the spotlight - TmoNews:   August 27, 2015 Alex Wa... http://t.co/KIVlLYQhoN"
356,t-mobile,3,"T-Mobile stops sales of Lumia 640 just two months after release   The Lumia 640 went  August 28, 2015 http://t.co/IN1wAlqCLF Cool Tech!!!"
358,t-mobile,3,"whole summer without a phone and the day I decide to spazz out on T-Mobile, they tell me that my phone should be coming in tuesday"
364,t-mobile,3,"[T-mobile] Stopping Network Abusers: An Open Letter to T-Mobile Customers   ""the only  August 31, 2015 http://t.co/tr8ogp4Ey5 Cool Tech!!!"
367,t-mobile,1,@JohnLegere my T-mobile experience has been he'll since I switched in April... Do you care? I have to call every month... #tmobilesucks
372,t-mobile,1,@adamploski @sprint my texts arent working again...for the 2nd day in a row... c'mon #Sprint ! U got me feeling like a T-Mobile customer :-\
373,t-mobile,3,Sent for my phone to get unlocked hopefully it's tomorrow so I don't have to pay this cricket bill and can go to T-Mobile
374,t-mobile,3,"One says Switzerland/Swisscom and the other says Germany T-Mobile, I think you may owe somebody a big apology."
375,t-mobile,1,"This T-mobile shit gotta go , going back to AT&amp;T Friday!"
378,t-mobile,3,"@TMobile I have T-mobile, it's alright. However my only complaint is what does the T even stand for? Thug? Thursday? Terra? Pls send halp"
383,t-mobile,3,@EE hi there have just got a 2nd line. I'm having trouble logging into my account on the app. 1st line on T-Mobile. Help?
385,t-mobile,3,@JohnLegere I would like see the new z5 premium on the T-Mobile  I want to give it too a good for her birthday Oct 19 http://t.co/OrA7HjEJ13
386,t-mobile,3,I'm switching to T-Mobile tomorrow and I'm getting a new number :( I've had the same number since third grade
387,t-mobile,3,@MarlinsMANiCURE the left is an AT&amp;T and on the right side is a T-mobile phone. Features of the device may vary by carrier. Do you (cont)
388,t-mobile,3,The t-mobile store in the auburn mall better have the phone I want tomorrow....
389,t-mobile,3,@AdishPawar Will do imma try to go down to T-Mobile after my first class on Tuesday. I'll just hit you up on here when I get it.
390,t-mobile,3,@FuckPUSHA no T-Mobile told me and kai ain't no 7 it's a 6s they release it on the 7th watch
391,t-mobile,3,@HUNEHN ...http://t.co/QKtXiqFKP9 If you currently do not have an active T-Mobile account you can try 3rd party sites who can... 2/3
392,t-mobile,5,This is insane: my T-Mobile LTE vs what I pay for TWC at home. I think I may just cancel TWC internet http://t.co/pUyopKLJ6b
399,t-mobile,3,@SprintSavings I may need you. Depending on what happens with t-mobile. Do you offer any free phones or anything on sign up? @TMobileHelp
401,taylor swift,3,Taylor swift or me??? (I'm the 1st one) http://t.co/1xerwMc2eM
405,taylor swift,3,"@boyalmxghty @WinterSoldierL is a universal feminism concerning everyone, as for taylor swift she may get into that category idk"
408,taylor swift,3,my sister turned 22 last tuesday and taylor swift just tried to sue my family
410,taylor swift,3,"Did Taylor Swift really rip one on the air?  What about that 19"" dong?  @THEVinceRusso and I discuss: http://t.co/0NW2bYkTPx  #RAW"
412,taylor swift,5,"Taylor Swift is Coming Toronto,ON October 2nd and 3rd at Rogers Centre  Get your Tickets Now!! Will you be in... http://t.co/Tk4BRrbbgV"
413,taylor swift,5,singing taylor swift at a karaoke bar may be the best date idea ever #AfterParadise #BachelorInParadise
414,taylor swift,5,I'm serious if anyone is selling cheap tickets for Taylor swift on Wednesday let me know idc if it's nosebleeds
415,taylor swift,5,@rtgilby I got my Taylor swift pictures ready to go in my locker tomorrow just for you
419,taylor swift,3,Low key want to drop off Justin off to school tomorrow bumping Taylor Swift or something just to   embarrass him .
421,taylor swift,3,this girl sang the same taylor swift song as me in the 5th grade talent show and she got mad at me lmfaoo
424,taylor swift,5,Not entirely sure that I remembered deodorant but Taylor Swift is tomorrow so it's like it doesn't even matter what else happens.
425,taylor swift,5,Did you ever think in your #WildestDream that you would be going to see Taylor Swift tomorrow night at Minute... http://t.co/A5QDbeWNX8
426,taylor swift,5,"#itweetFEEDS If Taylor Swift likes it, you know it must be good! On Monday, the blonde beauty... http://t.co/h1ZBbm6D1G #ff @itweetFEEDS"
427,taylor swift,5,Happy Tuesday loves!! I'm so excited to share this Taylor Swift Inspired Tutorial with you all!! xox http://t.co/bqiC4uB1k9
428,taylor swift,5,I think I may be legitimately in love with Taylor swift
430,taylor swift,3,"Watch Nicki Minaj call Miley Cyrus ab*tch onstage at the VMAs: Nicki Minaj may have made up with Taylor Swift,... http://t.co/nYCJg5AxHm"
436,taylor swift,3,"Well, we know it's not Taylor Swift. #SorrySwifties https://t.co/VBdkzs4J18"
438,taylor swift,5,My professor just high fived me when I let him know I'll be skipping his class tomorrow for the Taylor Swift concert
439,taylor swift,5,why is it so hard to win tiCKETS TO GO SEE TAYLOR SWIFT TOMORROW :'(
442,taylor swift,3,Boys serious about this Taylor Swift concert tomorrow
443,taylor swift,5,Jamming to Taylor Swift on the Tuesday after Labor day. @taylorswift13 makes any day a good day
445,taylor swift,5,Ready for the Taylor Swift concert tomorrow!!! @taylorswift13 #ShakeItOff #1989Tour http://t.co/6q2VOJOr5D
448,taylor swift,5,I'm just really upset I'm not seeing Taylor Swift tomorrow. Like so upset
451,taylor swift,5,YES TAYLOR SWIFT ON MY 13th BIRTHDAY and of course I went to the rescheduled one  https://t.co/uNL21EQIQZ
471,taylor swift,3,taylor swift will be 5 hours away  from me tomorrow i want to cry
473,taylor swift,3,Taylor Swift just waved at a boy and he didn't wave back so now she's got a new album coming out tomorrow.
478,taylor swift,3,@janiiesgotagun did janie mccue just quote taylor swift??? has hell frozen over????? the world may never know
480,taylor swift,5,ok but taylor swift is going to be on ellen tomorrow and I honestly do not care about anything else at the moment
483,taylor swift,5,"But in other good news, I'm going to see Taylor Swift next Wednesday!"
484,taylor swift,3,"@RoyHarperInRed [Dino sat and Abby babbled that she liked Taylor Swift, The Fray, One republic, and such.]"
485,taylor swift,5,Tomas Brown. @tombro173 Have you seen these thought-provoking Taylor Swift images? You may want to see: http://t.co/rm19Pf1RgD
488,taylor swift,3,lmao we know it ain't gonna be Taylor Swift  https://t.co/caZBtOpdiy
489,taylor swift,5,"Bye Bye Kim K! Taylor Swift is the new `Insta queen`: Washington D.C., Sept 9: With her 45.5 million followers... http://t.co/1iQGiiInom"
491,taylor swift,5,On the bright side I goT TAYLOR SWIFT CONCEET TICKWTS AGAIAN THIS IS MY 7th TS CONCERRT MOM ILYSM
492,taylor swift,3,Say you remember me Standing in a nice dress staring at the sun set babe - Taylor swift https://t.co/sr3r3ELzxJ
496,taylor swift,5,taylor swift radio for the next week and a half bc I am too pumped to see her in concert next Friday
503,ted 2,5,Ted 2 is way funnier then the 1st one
505,ted 2,3,Going for Ted 2 with kouhai tomorrow. ^u^
508,ted 2,5,Had a proper good laugh today watching Ted 2 with Chris Au Every bit as good as the 1st film in my opinion.. well satisfied!!
513,ted 2,5,@SethMacFarlane 46% on rotten tomorrow's? The critics are wrong about Ted 2. I haven't laughed that hard at the theaters in a while.
514,ted 2,5,so excited to see ted 2 on Friday with chummy
515,ted 2,3,Bloke sat behind me in the cinema loudly exclaimed Ant Man to be 'the stupidest idea ever' and then laughed at Ted 2 trailer. Idiot
521,ted 2,5,"@critiziice @Knonhprasith13 yeah I thought Ted 2 was hilarious lol, and they need to make a 3rd one."
522,ted 2,5,"Ted 2 was also a great movie, recommend it. Goodnight guys more tourneys tomorrow, and a free entry payout one!!!!! Be on the lookout"
525,ted 2,5,"@boristhespiderr Seen them all...JW, decent, Spy Decent.I thought Ted 2 was hilarious. If you liked the first one, you'll love the 2nd."
527,ted 2,5,Ted 2 was hilarious Time for bed and praying tomorrow is another good day
528,ted 2,3,@KingConcha @lil_kekev @allysonbonilla_ know she definitely doesn't wanna see Ted 2 tomorrow cuz u stupid
529,ted 2,3,@matthewlynch91 Almost saw you there. I was going to see Ted 2 but I'd seen everything else so going Monday night to combine it with Ant Man
531,ted 2,3,Anyone want to go see Ted 2 tomorrow
536,ted 2,5,Just watched Ted 2 thought was so much funnier than the 1st one #Ted2 #shithappens
547,ted 2,5,Brilliant Sunday. Awesome result from the mighty Centurions followed by Ted 2 wi the family. Pure quality. Every Sunday shud be that good
549,ted 2,5,Just finished watching Ted it was really good can't wait Ted 2 tomorrow night x
551,ted 2,3,Starts Friday -  disaster action film SAN ANDREAS with Dwayne Johnson followed by TED 2 with Mark Wahlberg. http://t.co/i9m75FBuCR
552,ted 2,5,I wanna see Ted 2 again for the 3rd time that shit is so god damn funny
554,ted 2,1,"Don't know how I am friends with Masotti, kid has awful taste in movies. Ted 2 may be the worst movie ever made, Masotti gave it a 6.5"
558,ted 2,3,Today's 1pm show of JURASSIC WORLD and tomorrow's 8.10pm of TED 2 are your last chances to watch them with us.  Tix: http://t.co/nC4I1scvIb
560,ted 2,5,"back to work, back to watching Ted 2 for about the 10th time now cause I like laughing"
563,ted 2,3,via @CaptainNeon Ted 2 (R) - July 25 - 7 p.m.:  Ted 2 (R)  7 p.m.  Minor with parent or guardian  Tickets on ... http://t.co/nJSfPFpZm3
564,ted 2,3,"@JoeDeVitoComedy I just saw Ted 2. I haven't seen so much penis, masturbation and semen since the time I sat near Paul Reubens at a matinee."
566,ted 2,5,Wow! Ted 2 was funnier than we thought! Looking forward to @Gfinity tomorrow... Reaping the @SteelSeries jacket! http://t.co/EJtZn0FrEX
570,ted 2,5,Sequels are rarely as good as the 1st. Ted 2 was a great and better than the original. Well done @SethMacFarlane
571,ted 2,5,I'm watching Ted 2 for the 3rd time in a row and I'm cryiiiing of how funny it is
572,ted 2,1,"Ted 2 was shit, ant-man was dec now it's time for southpaw!"
578,ted 2,5,about to watch Ted 2 for the 5th time
580,ted 2,5,Amanda Seyfried smoking a bong in Ted 2 may actually be one of the hottest things I've seen...
581,ted 2,3,"Tomorrow consists of going to the bank, collecting my EEG results and going to the cinema to watch Ted 2"
583,ted 2,3,@YounqMilly we are going to see Ted 2 on the 7th
585,ted 2,5,We sat down with the talented @AmandaSeyfried  to talk TED 2! Check out what she had to say! https://t.co/TmLaIKVF7m
587,ted 2,3,"im going to be 18 in november, and i was asked for ID to get into Ted 2 last night.. its 15s"
588,ted 2,5,"Ted 2 two really cleaned up nicely, would almost say better than the 1st."
594,ted 2,5,"Tomorrow gonna get up, do my sheets! Go shopping get some bits for my washing, get munch and see my girl and watch Ted 2. Perfect day!"
601,teen wolf,5,Good morning everyone :) How are you? I LOVE THE TEEN WOLF CAST SO DAMN MUCH AND TOMORROW ISNT MOONDAY
602,teen wolf,5,the fact i have to wait till January now for teen wolf hurts my heart
618,teen wolf,5,I honesty live for teen wolf so I'm really sad that the new season doesn't start till January ))):
621,teen wolf,5,Teen wolf was the only thing that made my Monday's greattt  ... What do I do now
630,teen wolf,5,"I want January, I want Teen Wolf."
637,teen wolf,3,A Monday without teen wolf is a Monday with less stress and anxiety
640,teen wolf,5,Teen wolf is on tonight and that's the best news I've heard since Friday.
641,teen wolf,5,"@CODYSAINTNEW I miss Teen Wolf so much, Monday's aren't the same anymore without it #CodySChat"
642,teen wolf,5,"I Love TEEN WOLF, can't wait till January when it comes back on."
644,teen wolf,5,Can January come by faster because I'm ready for a new year and the fifth wave and season 5b of teen wolf.
645,teen wolf,3,"@leboism @DeadshirtDotNet foolish mortal, I have sat through TEEN WOLF *and* TEEN WOLF TOO, nothing you can do can harm me anymore"
650,teen wolf,5,the lack of a new Teen Wolf episode today has left a hole in my heart that can only be filled by the joy of Bake Off tomorrow
651,teen wolf,5,Oh just realized that there was no teen wolf today :((((((((( MAJOR MISSING :(((( January'16. &lt;&lt; SO LONGGGGG
653,teen wolf,5,i miss teen wolf so bad yesterday was the first monday without it it was sad
654,teen wolf,5,OMG! BRC and TY so lov'ed the DOC show and Luv ty in Teen Wolf been a fan since it 1st aired! Known BRC over 15 yrs https://t.co/4wkhzU5DmQ
656,teen wolf,5,goodnight! i have to go to my college tomorrow kms but i love dylan and holland and all of the teen wolf cast so much
657,teen wolf,5,Can January just hurry up already?! I need TEEN WOLF NOW! @MTVteenwolf
660,teen wolf,5,I just wanna shower then put on pajamas and watch teen wolf till the sun comes up
661,teen wolf,5,I'm almost at the end of the 3rd season of Teen Wolf and I'm already in tears bc I know what's coming up
662,teen wolf,5,So shit that we have to wait till January for the second half of season 5 of teen wolf
663,teen wolf,5,So don't wake me up unless you have last Monday nights episode of Teen Wolf.
664,teen wolf,3,Teen Wolf movie series was so confusing that I thought I was listening to the 3rd movie for that past year turns out it was @KevinKleinLIVE
665,teen wolf,5,"Well, I've finished my Teen Wolf watching for the night. Continuing again tomorrow when I wake up :)"
666,teen wolf,5,I'm actually so excited for tomorrow just so I can know who's coming from the teen wolf cast
667,teen wolf,5,I miss Teen Wolf a lot!  I can't shucking wait for the SCORCHED TRIALS! OCOTBER 15TH we wont enter the maze but the trials :)
669,teen wolf,5,haven't been able to watch teen wolf 4 on netflix so i'm gonna watch it after school tomorrow and i'm already peeing my pants IM SO EXCITED
675,teen wolf,5,I'm like ready for Monday just so I can watch Teen Wolf.
676,teen wolf,5,ok i started to watch teen wolf on april 18 and then said i didnt know if i was gonna watch the rest and now look at me
683,teen wolf,3,my friend is about to watch the 9th episode from 5a of teen wolf everyone wish her good luck
684,teen wolf,3,@deborah_speegs That is frustrating. Is this from the Teen Wolf con in June??
686,teen wolf,3,@totallymorgan you mean no Teen Wolf tomorrow? now we live in shitverse
687,teen wolf,3,@authenticgriers I'm starting season 4 tomorrow bc I'm not up for it now bC TEEN WOLF IS STUPID AND WANTS ME TO CRY AND FEEL EMOTIONAL STUPI
692,teen wolf,3,So you know that point in Teen Wolf where Peter &amp; Derek are researching the kanima's 2nd form &amp; FUCK IT HAS WINGS?
694,teen wolf,3,k so i just finished watching the 5th season of Teen Wolf and i've got a few questions 1) WTF WAS THAT 2) WHY TF IS THEO STILL ALIVE
699,teen wolf,5,"it's 1am i should sleep i have school tomorrow ugh i miss teen wolf, can january pls come fast already"
704,tgif,3,"In TGIF tomorrow : 'Honu by the sea,' Heritage of Hula, Chris D'Elia, more. Find it online (premium) http://t.co/QgLvCxqx3q #TGIF"
705,tgif,5,Happy TGIF! May this day bring forth more blessings of love and happiness. Wink!
706,tgif,5,Yay! Rest day friday! Happy TGIF everyone! #ALDUBWishIMaine
712,tgif,5,TGIF!!!!!!! I wish I could say my Friday is going to be relaxing...but...I'm waist deep in staining cabinets.... http://t.co/9aUu6CffSF
715,tgif,5,TGIF....ooh I just remembered...every day is Friday when you're travelling! Off to Riga today..
716,tgif,5,TGIF!!!! Can't wait to sleep all the way till Monday. #tgif #Friday #weekend https://t.co/R3FELAB4gd
718,tgif,5,"hah. it's friday, baby! the last work day of a week. TGIF, right buddy ;)"
719,tgif,5,Good Morning Nigeria Its Friday &amp; YES You can say TGIF !!! We can see Service Day in perspective  Its going to be... http://t.co/D7m4OkEA3a
